sentence,label,text_length,word_count,cleaned_text
Poszłabym sobie do liceum jeszcze raz,0,37,6,poszłabym liceum
"@anonymized_account Prawdopodobnie z ocen delegatów, ale tego nie wiem na 100%.",0,79,11,prawdopodobnie ocena delegat wiedzieć 100
@anonymized_account @anonymized_account Bzdura. Nie liczy się demonstracja tylko sejmowa arytmetyka.,0,100,10,bzdura liczyć demonstracja sejmowy arytmetyka
@anonymized_account @anonymized_account dodaj jeszcze Piotrowicza i Kryże i masz kompaniję jak talala,0,101,12,dodać piotrowicz kryże mieć kompaniję talala
@anonymized_account Znowu Onet wypuścił fałszywa informację ?,0,61,7,onet wypuścić fałszywy informacja
"@anonymized_account @anonymized_account Dobrze że nic nie piłem bo też bym się zaksztusił.😁😁😁. Ten jeden gif wystarczy,jako komentarz, za 100 słów.",0,147,20,pić być zaksztusić 😁 😁 😁 gif wystarczyć komentarz 100 słowo
"@anonymized_account @anonymized_account Coś czuję, że słynne \""Houston, we have a problem\"" padło tak naprawdę kiedy skończył się płyn do demakijażu.",0,149,20,"czuć słynny \""houston have problem\ paść naprawdę skończyć płyn demakijaż"
@anonymized_account @anonymized_account A co Pan ma myśli pisząc o narracji politycznej PiS?,0,92,12,myśl pisać narracja polityczny pis
RT @anonymized_account W TYM TYGODNIU NIE MA DYNASTY KDNDNS CZEMU MI TO ROBICIE,0,79,13,tydzień dynasta kdndns robić
@anonymized_account Hehe owszem niema sensu ale szanujmy się jaki karny? Jaki var? Szukajcie pkt gdzie indziej my też musimy szukać gdzie indziej,0,145,22,hehe niemy sens szanuć karny var szukajt punkt indziej musieć szukać indziej
@anonymized_account i dobrze przynajmniej jest parzysta liczba drużyn :),0,72,9,przynajmniej parzysty liczba drużyna
@anonymized_account @anonymized_account Brawo @anonymized_account !!!! Kolejny poziom debilizmu przebity.,0,105,9,brawo kolejny poziom debilizm przebita
"@anonymized_account Tak, to amfora szyjowa panatenajska o pojemności podróżnej. Czyli, że do samolotu można.",0,108,14,amfora szyjowy panatenajsko pojemność podróżny samolot
"@anonymized_account Drogi Panie, obecna władza zasługuje wyłącznie na unicestwienie, ona nie ma nic wspólnego z Polską.",0,119,16,droga pan obecny władza zasługiwać wyłącznie unicestwieć wspólny polska
"@anonymized_account Tak czy siak. Szacun dla nich, bo rzeczywiście wycisnęli maksa ze swojego potencjału.",0,105,14,siak szacun rzeczywiście wycisnąć maksa swój potencjał
@anonymized_account @anonymized_account przecież w dupie miałeś ten medal :),0,76,9,dupa mieć być medal
@anonymized_account @anonymized_account Bo tu tępy pajac jesteś to nie umiesz.,1,78,10,tępy pajac być umieć
@anonymized_account @anonymized_account no oczywiście że nie było bo można sobie  pograć w piłke ręczną w polu karnym,0,117,17,oczywiście pograć piłke ręczny pole karny
RT @anonymized_account Samochody ciągnące za sobą billboardy pojadą pod siedzibę niemieckiej stacji telewizyjnej @anonymized_account \n#GermanDeathCamps \nhttps://t.…,0,166,16,samochód ciągnące billboarda pojada siedziba niemiecki stacja telewizyjny \n#germandeathcamps \nhttps://t
"@anonymized_account @anonymized_account Sprawdź chłopie w słowniku co oznacza słowo , którego używasz a potem się odzywaj.",0,122,16,sprawdzić chłopie słownik oznaczać słowo używać potem odzywać
"Justas Lasickas jest szesnastym zagranicznym reprezentantem, który w barwach swojego kraju wystąpił jako zawodnik Jagiellonii.",0,126,15,justas lasickas szesnasty zagraniczny reprezentant barwa swój kraj wystąpić zawodnik jagiellonia
RT @anonymized_account Przecież one mogły wwieźć do Sejmu tego pytona!,0,70,10,móc wwieźć sejm pytć
"RT @anonymized_account dobrze tam rafała brzozowskiego na fotel nie posadzili, z pewnością pozamiatałby śpiewając z uczestniczka na scenieXDDD #…",0,145,19,rafać brzozowskiy fotel posadzić pewność pozamiatać by śpiewać uczestniczko sceniexddd
@anonymized_account Biedne dziecko ta @anonymized_account tyle się jeszcze musi nauczyć.A główką już ma świat wychodzi😁😁,0,120,15,biedny dziecko tyle nauczyć.a główka świat wychodzić 😁 😁
"RT @anonymized_account Wczesniej myślałam, że nie rozumiem jedynie matmy, a życie okazało się być twardszym orzechem do zgryzienia",0,130,18,wczesni myśleć być rozumieć matmy życie okazać twardszy orzech zgryzieć
@anonymized_account Lepsze zasłony niż buty w tapicerkę Daci Logan 😎,0,68,10,dobry zasłon but tapicerka dat logan 😎
@anonymized_account Nie jest złe! Chodzisz w szpilkach? Cokolwiek byś nie założyła to szpilki choć trochę pomogą xd,0,115,17,zły chodzić szpilka by być założyć szpilka trochę pomóc xd
"@anonymized_account Myślę, że głośna, jednoznacznie negatywna i ostra reakcja, trochę utemperuje ten piękny plan podbicia reklamowego świata.",0,141,17,myśleć głośna jednoznacznie negatywny ostre reakcja trochę utemperować piękny plan podbić reklamowy świat
"@anonymized_account czyli jak ktoś je rosyjskie dania to jest zwolennikiem Putina, tak ?",0,88,13,rosyjski danie zwolennik putin
"@anonymized_account Bo masz ołtarzyk CR 😂 😛😛 Kopnięcie podobne, idiotyczne, niezbyt mocne, zupełnie bez piłki. Nie ma co usprawiedliwiać głupoty.",0,145,20,mieć ołtarzyk cr 😂 😛 😛 kopnięcie podobny idiotyczny niezbyt mocny zupełnie piłka usprawiedliwiać głupota
"@anonymized_account @anonymized_account W sumie to trochę przeszkadza, bo bez napisu byłby lepszy widok :)",0,106,14,suma trochę przeszkadzać napis być by dobry widok
@anonymized_account Ależ ten skład jest cienki 😂,0,48,7,skład cienki 😂
@anonymized_account A ja nie wyrażałem zgody na funkcjonowanie w szkołach kościelnych zboków za państwowe pieniądze.,0,116,15,wyrażać być zgoda funkcjonować szkoła kościelny zboek państwowy pieniądz
RT @anonymized_account @anonymized_account Boże broń nas od takich zasłużonych!!!!!!!!!!,0,88,9,boży bronić zasłużony
@anonymized_account @anonymized_account No i dwa #fakenews w jednym tweecie 😜,0,77,10,fakenews tweet 😜
"@anonymized_account @anonymized_account Albo na Piszczka \"" szybko zchodzi \"";-)gdy gra niewychodzi",0,99,11,piszczka szybko zchodzić )gdy grać niewychodzić
Kolejny talent trafi do Bialej Gwiazdy!!!! \n\nhttps://t.co/Uzj4580pwO,0,70,7,kolejny talent trafić bialeko gwiazda \n\nhttps://t.co uzj4580pwo
@anonymized_account Teorie za 1 praktykę za 4... ale dopiero za 4 razem miałam normalnego egzaminatora,0,102,15,teorie 1 praktyka 4 dopiero 4 razem mieć być normalny egzaminator
Ktoś z konta Cimorelli dał mi fav do tweeta!!!,0,46,9,konto cimorelli dać fav tweet
"Gdy pomyślisz partia, pomyślisz Lenin, gdy pomyślisz Lenin pomyślisz Tusk.",0,74,10,pomyślić partia pomyślić lenin pomyślić lenin pomyślić Tusk
"@anonymized_account tylko żebyśmy się nie \""wzmocnili\"" Smudą...",0,64,7,"żeby być \""wzmocnili\ smudić"
@anonymized_account @anonymized_account @anonymized_account Przez neta zawsze są aktualne składy bo tam są aktualizowane nawet wyjściowe jedenastki :P,0,150,17,net aktualny składa aktualizować wyjściowy jedenastka :p
"Bóg, honor, nacjonalizm - nie ma Boga , honor powyżej średniej, nacjonalizm to choroba a  cnota to szacunek dla mniejszości",0,123,20,bóg honor nacjonalizm bóg honor powyżej średni nacjonalizm choroba cnota szacunek mniejszość
@anonymized_account @anonymized_account Ciekawe czy da mu to przepustke do jakiegoś europejskiego klubu :),0,106,13,ciekawy dać przepustke jakiś europejski klub
"@anonymized_account 7 cm średnicy i 40 cm długości, nie mogł narzekać, tylko ten finał",0,86,14,7 centymetr średnica 40 centymetr długość mogł narzekać finał
@anonymized_account @anonymized_account A to się dopiero okaże czy będzie taki chętny.,0,86,11,dopiero okazać chętny
@anonymized_account jak ja lubie takie chwalenie się dziennikarzy.Gdyby ktoś  przejrzał inne tweety to i duże wpadki można pokazać,0,130,18,lubie chwalić dziennikarzy.gdyby przejrzeć tweeta duży wpadki pokazać
@anonymized_account Ciiiiiiii bo ja sie przejmuję XD,0,52,7,ciiiiiiii przejmować xd
RT @anonymized_account czy Inowrocław to taki ślonski Wrocław kaj mosz ino wrocław i nic wincyj,0,95,15,inowrocław ślonski wrocław kaj mosz ino wrocław wincyj
@anonymized_account @anonymized_account Ok dzięki  za info jednak i tak nieposiadam tego kanału ;-),0,99,13,dzięki info nieposiadać kanał
"3 godziny i nie ma stodoly, nawet źdźbła słomy nie zostało",0,58,11,3 godzina stodoly źdźbła słom zostać
"@anonymized_account wiem, ale dziś się nie ładują wcale.",0,56,8,wiedzieć ładować wcale
@anonymized_account Radzę banować małych ruskich trolli @anonymized_account,0,75,7,radzić banować mały ruski troll
Nawałka honorowo odszedl i 4 mln zainkasował. Bedzie honor jak odda przynajmniej 3/4,0,84,13,nawałka honorowo odszedl 4 milion zainkasować honor oddać przynajmniej 3/4
RT @anonymized_account Pan Duda jedzie do USA. Spotka się z pomnikiem w Jersey City.,0,84,14,duda jechać usa spotkać pomnikiem jersey city
"@anonymized_account @anonymized_account Jesienią mieliśmy trzy zwycięstwa :D Na inauguracje z PBB, Bułgarska i Łazienkowska 😅",0,125,15,jesień mieć być trzy zwycięstwo d inauguracja pbba bułgarski łazienkowski 😅
"Jeszcze raz ktoś powie o 'wykorzystaniu maksimum możliwości', to mnie szlag trafi.",0,82,12,powiedzieć wykorzystać Maksimum możliwość szlag trafić
"@anonymized_account Nie, zostawiliśmy następnym niespodziankę 🤗",0,63,6,zostawić być następny niespodzianka 🤗
"@anonymized_account Ciii, miałam tego nie ujawniać!",0,51,6,ciii mieć być ujawniać
"@anonymized_account Hej, jak Ci się sprawuje ten bronzer?",0,57,8,heja sprawować bronzer
"Kim są ludzie, którzy widząc numer czterdzieści cztery (44), automatycznie nie mówią \""A imię jego czterdzieści i cztery\""????",0,126,18,"kto człowiek widzieć numer czterdzieści cztery 44 automatycznie mówić \""ać imię czterdzieść cztery\"
"@anonymized_account To w takim razie dziewięć, nie dziesięć 😊",0,61,9,taki dziewięć dziesięć 😊
@anonymized_account Kartkę za faul dostał Simoes (nr 8). Helder Lopes dostał za co innego czerwień bezpośrednio.,0,112,16,kartka faul dostać simoes numer 8) helder lopes dostać inny czerwienie bezpośrednio
@anonymized_account Cracovia jaką chcemy oglądać 😂,0,50,6,cracovia jaki chcieć oglądać 😂
@anonymized_account Emi  Ciebie nie da się zapomnieć😁😁😁😁,0,56,7,emia dać zapomnieć 😁 😁 😁 😁
"@anonymized_account @anonymized_account Proponuję komisję ws SKOK i Bieleckiego, komisję ws Glińskiego, komisję ws kolesi w SSP. Uzbiera się z paręset miliardów.",0,161,21,proponować komisja ws skok bieleckiy komisja ws glińskiy komisja ws kolesić ssp uzbierać paręset miliard
@anonymized_account coś jej tam w duszy gra.,0,44,7,dusza grać
"@anonymized_account Spoko ja do banki wyjeżdżam z wyrazami szacunku a ona mi odpisuje Pani z małej, żadnego podpisu nic xd",0,122,20,spoko bank wyjeżdżać wyraz szacunek odpisować mały żaden podpis xd
@anonymized_account Miał mieć w razie czego klauzule powrotu po rundzie.,0,72,10,mieć co klauzule powrót runda
"To jest polskie śmietnisko, to nie my, to oni, my tacy nie jesteśmy",0,67,13,polski śmietnisko taki być
@anonymized_account Mam pytanie: jaki jest cel tego postu?,0,58,8,pytanie cel postu
"@anonymized_account To na chuj pytać ja o meritum nie pytać, uuuu, siła i honor, ùuuuu",0,86,15,chuj pytać meritum pytać uuuu siła honor ùuuuu
"@anonymized_account Pierdolisz tyle o ojczyźnie to ją szanuj, 1200 zł na m-c za taksówki to nie jest szacunek,",1,110,18,pierdolić tyle ojczyzna szanuj 1200 złoty m c taksówka szacunek
#Wypozyczeni Stal Mielec - Podbeskidzie 0:1\nPrzemek Mystkowski grał do 82. minuty.,0,83,11,wypozyczić stal Mielec podbeskidzie 0:1\nprzemek mystkowski grać 82 minuta
"@anonymized_account Zaprzeczenie inteligencji, jak tak można plakal nie plakal, znizac sie do takiego poziomu",1,109,14,zaprzeczeć inteligencja plakal plakal znizac taki poziom
400 Lat wykonawcy R.U.T.A. \u0026amp; Paprika Korps\nhttps://t.co/gwhaMkZ0jj,0,76,7,400 rok wykonawca r.u.t.a \u0026amp paprik korps\nhttps://t.co gwhamkz0jj
@anonymized_account @anonymized_account No ja pierdzielę!😁😁😁. Tekst jak u Barei: Klient w krawacie jest mniej awanturujacy się😁😁😁😁😁😁😀,0,133,16,pierdzielić 😁 😁 😁 tekst barea klient krawat mniej awanturujacy 😁 😁 😁 😁 😁 😁 😀
"@anonymized_account Były sytuacje, gdy wykopujący bramkarz blokującego kilka metrów od niego napastnika trafiał i przerywano grę. Dlatego pytam.",0,144,18,sytuacja wykopować bramkarz blokujący metr napastnika trafieć przerywać gra pytać
@anonymized_account Izba Dyscyplinarna ma za zadanie wydalić z sądów sędziów złodziei i łapowników! Chyba o tym powinnaś wiedzieć Kamila!,0,137,19,izba dyscyplinarny zadanie wydalić sąd sędzia złodziej łapownik chyba powinien być wiedzieć Kamila
RT @anonymized_account Polska zrealizowala nasze cele w UE na szczycie z nawiązką. Podajcie dalej RT koniecznie potrzebne - dziękuję😊\nhttps://t.co/Oz…,0,151,19,Polska zrealizowalać cel UE szczyt nawiązka podajta daleko koniecznie potrzebny dziękować 😊 \nhttps://t.co oz
@anonymized_account @anonymized_account Odejmuje 3 pkt z Legią i jakoś Wisła dalej jest w ósemce.,0,97,14,odejmować 3 punkt legia wisła daleko ósemka
"@anonymized_account Mam wrażenie, że on jest kręcony w slow motion, robiłam trzy podejścia i przemęczyłam dwa odcinki tylko.",0,124,18,wrażenie kręcony slow motion robić być trzy podejście przemęczyć być odcinek
RT @anonymized_account @anonymized_account Komorowski wyciągnąłby wizytówkę banku i doradził odpowiedni kredyt .,0,112,12,komorowski wyciągnąć by wizytówka bank doradzić odpowiedni kredyt
#Wypozyczeni Stal Stalowa Wola - Widzew Łódź 3:0.\nMarcin Pigiel grał przez 73 minuty.,0,86,13,wypozyczć stal stalowy wola widzew łódź 3:0.\nmarcin pigiel grać 73 minuta
@anonymized_account @anonymized_account A Mariott dla ciebie i dworu ile kosztował?,0,83,10,mariott dwór kosztować
@anonymized_account @anonymized_account @anonymized_account a poza tym czemu ogladał w TV ? Dostał zakaz ? A nie przepraszam żal mu było 40 zł,0,142,22,ogladać tv dostać zakaz przepraszać żal 40 złoty
"@anonymized_account Fajne usteczka ma, ciekawe czy dobrze ciągnie?",0,66,8,fajny usteczka ciekawy ciągnąć
"@anonymized_account \""Fileciki z drozdów\"" są właśnie z Bułhakowa 😎",0,67,9,"\""filecik drozdów\ bułhakowy 😎"
@anonymized_account  a gdzie napisałem że zrozumiałem że kiedyś tam zostanie zwolniony ?,0,88,12,napisać być zrozumieć być kiedyś zostać zwolnić
"o jezu, jeszcze ta dziewczyna która w tvd grała syrenę!!!!!!!!!!!",0,65,10,jezu dziewczyna tvd grać syrena
@anonymized_account Czemu nie ma u Pana takiego wzmozenia jak topią sie dzieci uchodzcow?,0,89,13,taki wzmozenie topić dziecko uchodzcow
@anonymized_account Wiem łatwo się mówi jął nie moje PLN-y w grze :),0,68,12,wiedzieć łatwo mówić jąć pln y gra
RT @anonymized_account Euro Polska przyjmie z chęcią!!\nKażde ilości ❗\nNajlepiej w postaci reparacji od Niemiec ❗\n\n#BezRetuszu,0,129,15,euro Polska przyjąć chęcią!!\nkażdy ilość ❗ \nnajlepi postać reparacja niemiec ❗ \n\n#bezretusz
"@anonymized_account @anonymized_account Za to GKS Katowice jest mistrzem pompowania balonika, a później kompromitowania się.",0,124,14,gks katowica mistrz pompować balonik późno kompromitowanie
"Okrzyknięty przez kolegów z partii i sąsiada debilem,wmawia innym choroby psychiczne.#Woronicza17",0,97,11,okrzykniąć kolega partia sąsiad debil wmawiać inny choroba psychiczne.#woronicza17
"@anonymized_account Zawsze tak patrzy, bynajmniej nie z troski.",0,63,8,patrzeć troska
"@anonymized_account już nie śpię, możesz zadzwonić.",0,51,6,śpię móc zadzwonić
@anonymized_account @anonymized_account @anonymized_account Poza tym powinni być szczepieni,0,91,8,szczepiony
@anonymized_account Drugiej żółtej się nie sprawdza.,0,52,6,drugi żółty sprawdzać
@anonymized_account Pewnie można dostać kartkę za niesportowe zachowanie.,0,73,8,pewnie dostać kartka niesportowy zachowanie
@anonymized_account no to fajna z ciebie koleżanka że pokazujesz prywatne rozmowy i obgadujesz.Pozazdrościć takiej znajomej.,0,124,15,fajny koleżanka pokazować prywatny rozmowa obgadujesz.pozazdrościć taki znajoma
@anonymized_account @anonymized_account @anonymized_account @anonymized_account @anonymized_account @anonymized_account Nie przypisuj mi swoich ambicji ;),0,154,12,przypisuć swój ambicja
@anonymized_account I o to właśnie chodzi. To całostronicowe ogłoszenie w dzisiejszym  Expresie Ilustrowanym,0,108,13,chodzić całostronicowy ogłoszenie dzisiejszy expres ilustrowany
"Faceci tacy są: nie mogę spać od 2 tygodni, jestem osłabiony dlatego DOSTAŁEM KATAR I ZARAZ UMRĘ BO KICHNĄŁEM 5 RAZY POD RZĄD",0,125,23,faceci taki móc spać 2 tydzień osłabić dostać być katar zaraz umrę kichnąło 5 raz rząd
@anonymized_account Oddycha plucami bo usta szalikem zatkane ;),0,63,8,oddychać pluc usta szalikem zatkać
@anonymized_account dziecięca kreatywność jest absolutnie fascynująca.,0,70,6,dziecięcy kreatywność absolutnie fascynujący
"@anonymized_account @anonymized_account @anonymized_account Nie ma szans, jak tam wrócisz to cię na taczkach wywiozą",0,116,14,szansa wrócić taczkach wywioza
Yerri Mina - złota piłka 😁,0,26,6,yerri min złoty piłka 😁
@anonymized_account @anonymized_account @anonymized_account @anonymized_account @anonymized_account Chłopcze pogadamy jak przestaniesz na kupkę mówić papu.,1,155,13,chłopcze pogadać przestanieć kupka mówić papu
"@anonymized_account Nie dość, że są nie śmieszni to co chwilę piszą jakie to radio zajebiste i zabawne.",0,103,17,śmieszny chwila pisać radio zajebisty zabawny
"@anonymized_account Chodziło mi, że w seniorach nie ma zakazu. U nas max 1 lub 2 nazwiska z 2000 zostaną w CLJ, a być może nikt.",0,128,25,chodzić senior zakaz max 1 2 nazwisko 2000 zostać clj nikt
@anonymized_account o ile się nie myle to ta twarda ręka była jednym z powodów jego zwolnienia :),0,97,17,myle twardy ręka powód zwolnienie
HALO KTOŚ Z MOICH MUTUALSÓW RYSUJE? BO MAM JEDNO PYTANKOOO A JEŚLI NIE TO PROSZĘ O RT. TO WAZNE BARDZO.,0,103,20,halo mój mutuals rysować pytankooo prosić wazny
"@anonymized_account Gdyby tweet miał więcej znaków, dopisałabym do definicji: \""Przypięty do kluczy, też niespodziewanie znika\"".",0,129,15,"tweet znak dopisałabym definicja \""przypięty klucz niespodziewanie znika\"
RT @anonymized_account @anonymized_account czyli wg Pani wolno niszczyć cudze mienie....wstyd.  I nie ma co się dziwić ze macie z 2 % poparcie....a…,0,148,22,wg wolno niszczyć cudzy mienie wstyd dziwić mieć 2 poparcie
@anonymized_account @anonymized_account Wasz świat? To się w nim zamknijcie i nie wystawiajcie nosa.,0,100,13,świat zamknijta wystawiajć nos
@anonymized_account Dopadła mnie depresja. Nie znam matematyki. Jestem wtórnym analfabetą😁😁😁😁😁,0,94,10,dopaść depresja znać matematyka wtórny analfabeta 😁 😁 😁 😁 😁
RT @anonymized_account @anonymized_account @anonymized_account Wzrusza mnie ta wasza troska. I rozumiem ją. W końcu jest lotnisko w Niemczech. A więc u nas n…,0,158,23,wzruszać troski rozumieć koniec lotnisko niemczech n
"@anonymized_account Tylko wtedy celnie podaje, gdy nie ma pressingu.",0,68,9,celnie podawać pressing
@anonymized_account @anonymized_account A Carlitos nie grał od początku z Cork City :),0,86,12,carlitos grać początek cork cit
"@anonymized_account Zgadza się, ale nie rozpoczął się wieczorem :)",0,66,9,zgadzać rozpocząć wieczór
@anonymized_account Nie no sorry jak nie zdobędziemy chociaż punktu z takim słabym zespołem to po prostu nie zasługujemy na grupe mistrzowską.,0,142,21,sorry zdobędziemy chociaż punkt taki słaby zespół prosty zasługować grupe mistrzowski
@anonymized_account jestem zaprzyjaźniony ze statystykami bo jestem miłośnikiem Football Managera :),0,100,11,zaprzyjaźniony statystyk miłośnik football manager
@anonymized_account @anonymized_account Daj klapsa o w nogi😁😁😁,0,62,7,dać klapsaa noga 😁 😁 😁
@anonymized_account @anonymized_account @anonymized_account A co byłeś wiesz  że jest tam podłączenie do wody i tak dla kaprysu wydał na straż z D,0,146,22,być być wiedzieć podłączenie woda kaprysu wydać straż d
"@anonymized_account Jak narazie to sobie możecie kupę zrobić. Albo hurtowo dać dupy pedofilów w sutannach, których publicznie bronicie.",1,135,18,narazie móc kupa zrobić hurtowo dać dupa pedofil sutann publicznie bronicie
@anonymized_account @anonymized_account ue działa na naszą szkodę - im wolno?,0,77,10,UE działać nasz szkoda wolno
"@anonymized_account Zbiera się do kontrataku, dla swojego pryncypala pójdzie w bój, patrityczna dusza,  co nie @anonymized_account ?",0,132,17,zbierać kontratak swój pryncypal pójść bój patrityczny dusza
Narodowcy na marszu w Warszawie krzyczeli: „Tu jest Polska nie Izrael” trzymając w rękach plakat z Jezusem.,0,107,17,narodowiec marsz Warszawa krzyczel polski izrael trzymać ręka plakat jezus
@anonymized_account @anonymized_account @anonymized_account @anonymized_account Tak i Sebastian Mila do tego...,0,111,10,sebastiana Mil
@anonymized_account Kupię trochę baterii i suchary.,0,51,6,kupić trochę bateria suchar
@anonymized_account Co na to amisz @anonymized_account ?,0,56,7,amić
"@anonymized_account @anonymized_account Nie, 113km można truchtem przebiec. Liczba sprintów i szybkich biegów (+ kilometry).",0,124,14,113 kilometr trucht przebiec liczba sprinta szybki bieg + kilometr
Ktoś założył fejkowe konto i ogląda WSZYSTKIE moje story,0,56,9,założyć fejkowy konto oglądać stor
@anonymized_account jak Podbeskidzie spadnie to z tego powodu że jest słabe,0,75,11,podbeskidzie spadnie powód słaby
@anonymized_account No ale wiesz narazie to ciiii 😂,0,51,8,wiedzieć narazie ciiii 😂
"@anonymized_account @anonymized_account @anonymized_account Chwila, ma nie rosnąć tylko maleć! ;-)",0,98,10,chwila rosnąć maleć
Szeregowiec Jaruzelski...\nSzeregowiec Kiszczak...\n\nBrzmi OK! 👍🏼\n\n#UstawaDegradacyjna\n\nhttps://t.co/A5LFFoLMwj,0,116,5,szeregowiec jaruzelski \nszeregowiec kiszczak \n\nbrzmi 👍 🏼\n\n#ustawadegradacyjna\n\nhttps://t.co a5lffolmwj
@anonymized_account zgadza się.Już w pierwszych minutach ewidentny karny dla Lechii po ręce Borysiuka,0,101,13,zgadzać się.już pierwszy minuta ewidentny karny lechia ręka borysiuka
"@anonymized_account Nie wiem, ale w tej akcji zagrał mega.",0,58,9,wiedzieć akcja zagrać mega
"@anonymized_account Ja zawsze w takich sytuacjach mówię, że w szkole wtedy chorowałem 😀",0,87,13,sytuacja mówić szkoła choroweć być 😀
"@anonymized_account A co myślałeś, że na Puchar Polski w środku tygodnia przyjdzie 20 tys ?",0,91,15,myśleć być puchar polski środek tydzień przyjść 20
"@anonymized_account @anonymized_account Widzę, że Pan nadal w kolejce do psychiatry, bo nie widać śladów leczenia.",0,114,15,widzieć nadal kolejka psychiatra widać ślad leczenie
i nic mnie tak nie leczy jak ty,0,31,8,leczyć
@anonymized_account Ty aby nie zacząleś ćpać przez wydumane problemy?,0,69,9,zacząleś ćpać wydumać problem
RT @anonymized_account @anonymized_account Ręce precz od Polski szwabie,1,71,8,ręka precz Polska szwaba
@anonymized_account Tez jestem z września!!! Ja 20 😂,0,52,8,tez wrzesień 20 😂
@anonymized_account No to jak się przegrywa cały czas to lepiej przestać grać :),0,80,13,przegrywać czas dobrze przestać grać
@anonymized_account A ja widzę taki tytuł: Brudziński narkomanem!! Chwalił się że gotuje kompot. Żądamy dymisji ministra narkomana!!!,1,133,17,widzieć tytuł brudziński narkoman chwalić gotować kompot żądać dymisja minister narkomać
"@anonymized_account Nigdzie nie widzę jeszcze \""Zima zaskoczyła drogowców\"".",0,76,8,"nigdzie widzieć \""zima zaskoczyć drogowców\"
@anonymized_account @anonymized_account  a czy spalony przy bramce Nikolicia był to nie pokazali...,0,99,12,spalić bramka nikolicie pokazać
"@anonymized_account @anonymized_account Mam rozumieć, że to mapa nasycenia krajów zboczeńcami w sutannach.",1,106,12,rozumieć mapa nasycyć kraj zboczeńca sutanni
@anonymized_account Albo jak kto woli dno. I równia pochyła😁😁😁,0,62,9,woleć dno równie pochyć 😁 😁 😁
@anonymized_account @anonymized_account Modne ? A może po prostu mamy oczy i oglądamy każdy mecz Wisły ?,0,104,16,modny prosty oko oglądać mecz wisła
@anonymized_account rzeczywiście nazwisko Małeckiego było skandowane od niepamiętnych czasów.Ostatni raz tydzień temu...,0,120,12,rzeczywiście nazwisko małeckiy skandować niepamiętny czasów.ostatni tydzień
"Kibice Legii wyzywali sędziego Marciniaka, a tymczasem do spółki z asystentem zapewnił im trzy punkty #LEGLPO",0,109,16,kibic legia wyzywać sędzia Marciniak tymczasem spółka asystent zapewnić trzy punkt leglpo
"@anonymized_account W Twoim przypadku tępy jest i wpis, i autor.",0,64,10,przypadek tęp wpis autor
